Depth,Temperature [Â°C],Oxygen [mg/l],timestamp
0.0,,,2010-02-17 00:00:00
0.5,0.5,7.4,2010-02-17 00:00:00
1.0,2.0,7.5,2010-02-17 00:00:00
1.5,2.8,7.0,2010-02-17 00:00:00
2.0,3.1,6.7,2010-02-17 00:00:00
2.5,3.3,5.6,2010-02-17 00:00:00
3.0,3.5,5.4,2010-02-17 00:00:00
3.5,4.0,3.8,2010-02-17 00:00:00
4.0,4.2,2.96,2010-02-17 00:00:00
4.5,,,2010-02-17 00:00:00
5.0,4.8,1.23,2010-02-17 00:00:00
5.5,,,2010-02-17 00:00:00
6.0,5.1,0.0,2010-02-17 00:00:00
6.5,,,2010-02-17 00:00:00
7.0,,,2010-02-17 00:00:00
7.5,,,2010-02-17 00:00:00
8.0,,,2010-02-17 00:00:00
8.5,,,2010-02-17 00:00:00
9.0,,,2010-02-17 00:00:00
9.5,,,2010-02-17 00:00:00
10.0,,,2010-02-17 00:00:00
0.0,,,2010-03-09 00:00:00
0.5,1.3,6.88,2010-03-09 00:00:00
1.0,2.8,6.8,2010-03-09 00:00:00
1.5,3.4,6.35,2010-03-09 00:00:00
2.0,3.8,6.33,2010-03-09 00:00:00
2.5,4.0,4.53,2010-03-09 00:00:00
3.0,4.2,3.37,2010-03-09 00:00:00
3.5,4.4,3.14,2010-03-09 00:00:00
4.0,4.4,2.16,2010-03-09 00:00:00
4.5,4.5,2.44,2010-03-09 00:00:00
5.0,4.5,1.83,2010-03-09 00:00:00
5.5,4.7,0.18,2010-03-09 00:00:00
6.0,4.8,0.14,2010-03-09 00:00:00
6.5,,,2010-03-09 00:00:00
7.0,,,2010-03-09 00:00:00
7.5,,,2010-03-09 00:00:00
8.0,,,2010-03-09 00:00:00
8.5,,,2010-03-09 00:00:00
9.0,,,2010-03-09 00:00:00
9.5,,,2010-03-09 00:00:00
10.0,,,2010-03-09 00:00:00
0.0,21.3,9.95,2010-06-08 15:30:00
0.5,20.6,9.75,2010-06-08 15:30:00
1.0,19.9,9.75,2010-06-08 15:30:00
1.5,19.4,9.75,2010-06-08 15:30:00
2.0,19.1,9.63,2010-06-08 15:30:00
2.5,17.7,11.7,2010-06-08 15:30:00
3.0,16.0,12.0,2010-06-08 15:30:00
3.5,14.7,10.8,2010-06-08 15:30:00
4.0,13.9,10.2,2010-06-08 15:30:00
4.5,13.0,9.5,2010-06-08 15:30:00
5.0,12.2,8.2,2010-06-08 15:30:00
5.5,11.5,4.8,2010-06-08 15:30:00
6.0,10.9,3.3,2010-06-08 15:30:00
6.5,10.2,0.35,2010-06-08 15:30:00
7.0,9.5,0.18,2010-06-08 15:30:00
7.5,9.3,0.11,2010-06-08 15:30:00
8.0,9.0,0.07,2010-06-08 15:30:00
8.5,,,2010-06-08 15:30:00
9.0,,,2010-06-08 15:30:00
9.5,,,2010-06-08 15:30:00
10.0,,,2010-06-08 15:30:00
0.0,19.2,9.49,2010-06-21 15:00:00
0.5,19.1,9.41,2010-06-21 15:00:00
1.0,19.0,9.5,2010-06-21 15:00:00
1.5,18.8,9.48,2010-06-21 15:00:00
2.0,18.7,9.49,2010-06-21 15:00:00
2.5,18.5,9.49,2010-06-21 15:00:00
3.0,18.5,9.28,2010-06-21 15:00:00
3.5,18.2,9.85,2010-06-21 15:00:00
4.0,16.4,11.42,2010-06-21 15:00:00
4.5,14.2,9.87,2010-06-21 15:00:00
5.0,12.9,7.47,2010-06-21 15:00:00
5.5,11.6,1.63,2010-06-21 15:00:00
6.0,10.6,0.21,2010-06-21 15:00:00
6.5,10.0,0.07,2010-06-21 15:00:00
7.0,9.6,0.04,2010-06-21 15:00:00
7.5,9.4,0.03,2010-06-21 15:00:00
8.0,9.0,0.02,2010-06-21 15:00:00
8.5,,,2010-06-21 15:00:00
9.0,,,2010-06-21 15:00:00
9.5,,,2010-06-21 15:00:00
10.0,,,2010-06-21 15:00:00
0.0,24.7,9.52,2010-07-01 16:30:00
0.5,24.6,9.64,2010-07-01 16:30:00
1.0,24.2,9.44,2010-07-01 16:30:00
1.5,24.1,9.41,2010-07-01 16:30:00
2.0,23.3,9.3,2010-07-01 16:30:00
2.5,22.8,10.47,2010-07-01 16:30:00
3.0,21.0,10.7,2010-07-01 16:30:00
3.5,19.7,10.46,2010-07-01 16:30:00
4.0,18.4,10.92,2010-07-01 16:30:00
4.5,16.5,9.15,2010-07-01 16:30:00
5.0,14.9,6.56,2010-07-01 16:30:00
5.5,13.5,4.96,2010-07-01 16:30:00
6.0,12.3,0.36,2010-07-01 16:30:00
6.5,10.8,0.09,2010-07-01 16:30:00
7.0,10.1,0.08,2010-07-01 16:30:00
7.5,9.8,0.02,2010-07-01 16:30:00
8.0,9.5,0.01,2010-07-01 16:30:00
8.5,,,2010-07-01 16:30:00
9.0,,,2010-07-01 16:30:00
9.5,,,2010-07-01 16:30:00
10.0,,,2010-07-01 16:30:00
0.0,27.3,9.0,2010-07-10 15:30:00
0.5,26.7,9.1,2010-07-10 15:30:00
1.0,25.3,8.68,2010-07-10 15:30:00
1.5,25.1,9.21,2010-07-10 15:30:00
2.0,24.7,8.3,2010-07-10 15:30:00
2.5,24.4,8.3,2010-07-10 15:30:00
3.0,23.7,8.84,2010-07-10 15:30:00
3.5,21.8,10.12,2010-07-10 15:30:00
4.0,19.8,9.56,2010-07-10 15:30:00
4.5,18.4,10.07,2010-07-10 15:30:00
5.0,16.5,7.6,2010-07-10 15:30:00
5.5,13.8,1.84,2010-07-10 15:30:00
6.0,12.7,0.02,2010-07-10 15:30:00
6.5,11.2,0.0,2010-07-10 15:30:00
7.0,10.4,0.0,2010-07-10 15:30:00
7.5,10.1,0.0,2010-07-10 15:30:00
8.0,9.7,0.0,2010-07-10 15:30:00
8.5,,,2010-07-10 15:30:00
9.0,,,2010-07-10 15:30:00
9.5,,,2010-07-10 15:30:00
10.0,,,2010-07-10 15:30:00
0.0,25.9,8.24,2010-07-22 14:00:00
0.5,25.9,8.05,2010-07-22 14:00:00
1.0,25.5,8.0,2010-07-22 14:00:00
1.5,25.4,8.18,2010-07-22 14:00:00
2.0,25.2,7.94,2010-07-22 14:00:00
2.5,25.2,7.8,2010-07-22 14:00:00
3.0,25.0,7.5,2010-07-22 14:00:00
3.5,24.6,7.7,2010-07-22 14:00:00
4.0,22.9,9.17,2010-07-22 14:00:00
4.5,19.5,8.5,2010-07-22 14:00:00
5.0,17.8,7.6,2010-07-22 14:00:00
5.5,16.7,5.5,2010-07-22 14:00:00
6.0,14.3,0.9,2010-07-22 14:00:00
6.5,12.0,0.1,2010-07-22 14:00:00
7.0,10.9,0.07,2010-07-22 14:00:00
7.5,,,2010-07-22 14:00:00
8.0,,,2010-07-22 14:00:00
8.5,,,2010-07-22 14:00:00
9.0,,,2010-07-22 14:00:00
9.5,,,2010-07-22 14:00:00
10.0,,,2010-07-22 14:00:00
0.0,23.5,8.3,2010-07-28 14:00:00
0.5,23.5,8.23,2010-07-28 14:00:00
1.0,23.2,8.17,2010-07-28 14:00:00
1.5,23.2,7.87,2010-07-28 14:00:00
2.0,23.1,8.08,2010-07-28 14:00:00
2.5,23.1,8.17,2010-07-28 14:00:00
3.0,22.9,7.52,2010-07-28 14:00:00
3.5,22.8,7.09,2010-07-28 14:00:00
4.0,22.5,6.68,2010-07-28 14:00:00
4.5,21.7,6.51,2010-07-28 14:00:00
5.0,19.3,6.55,2010-07-28 14:00:00
5.5,16.6,2.9,2010-07-28 14:00:00
6.0,14.4,0.3,2010-07-28 14:00:00
6.5,13.4,0.21,2010-07-28 14:00:00
7.0,11.5,0.02,2010-07-28 14:00:00
7.5,,,2010-07-28 14:00:00
8.0,,,2010-07-28 14:00:00
8.5,,,2010-07-28 14:00:00
9.0,,,2010-07-28 14:00:00
9.5,,,2010-07-28 14:00:00
10.0,,,2010-07-28 14:00:00
0.0,23.6,8.22,2010-08-02 19:30:00
0.5,23.4,8.37,2010-08-02 19:30:00
1.0,23.2,8.17,2010-08-02 19:30:00
1.5,23.0,8.3,2010-08-02 19:30:00
2.0,23.0,8.3,2010-08-02 19:30:00
2.5,22.9,8.3,2010-08-02 19:30:00
3.0,22.7,8.01,2010-08-02 19:30:00
3.5,22.6,7.33,2010-08-02 19:30:00
4.0,22.4,7.2,2010-08-02 19:30:00
4.5,21.6,5.91,2010-08-02 19:30:00
5.0,19.9,3.9,2010-08-02 19:30:00
5.5,17.8,3.15,2010-08-02 19:30:00
6.0,15.8,0.5,2010-08-02 19:30:00
6.5,13.4,0.1,2010-08-02 19:30:00
7.0,12.2,0.03,2010-08-02 19:30:00
7.5,11.0,0.02,2010-08-02 19:30:00
8.0,,,2010-08-02 19:30:00
8.5,,,2010-08-02 19:30:00
9.0,,,2010-08-02 19:30:00
9.5,,,2010-08-02 19:30:00
10.0,,,2010-08-02 19:30:00
0.0,23.6,8.3,2010-08-10 15:00:00
0.5,23.3,8.03,2010-08-10 15:00:00
1.0,22.7,8.05,2010-08-10 15:00:00
1.5,22.5,8.53,2010-08-10 15:00:00
2.0,22.4,8.37,2010-08-10 15:00:00
2.5,22.4,7.88,2010-08-10 15:00:00
3.0,22.3,8.36,2010-08-10 15:00:00
3.5,22.3,8.12,2010-08-10 15:00:00
4.0,22.1,7.26,2010-08-10 15:00:00
4.5,21.7,5.9,2010-08-10 15:00:00
5.0,20.7,3.41,2010-08-10 15:00:00
5.5,18.6,1.66,2010-08-10 15:00:00
6.0,16.3,0.4,2010-08-10 15:00:00
6.5,13.2,0.06,2010-08-10 15:00:00
7.0,,,2010-08-10 15:00:00
7.5,,,2010-08-10 15:00:00
8.0,,,2010-08-10 15:00:00
8.5,,,2010-08-10 15:00:00
9.0,,,2010-08-10 15:00:00
9.5,,,2010-08-10 15:00:00
10.0,,,2010-08-10 15:00:00
0.0,22.4,7.84,2010-08-11 07:30:00
0.5,22.4,7.7,2010-08-11 07:30:00
1.0,22.5,7.3,2010-08-11 07:30:00
1.5,22.5,7.37,2010-08-11 07:30:00
2.0,22.5,7.75,2010-08-11 07:30:00
2.5,22.5,7.4,2010-08-11 07:30:00
3.0,22.4,7.4,2010-08-11 07:30:00
3.5,22.3,7.5,2010-08-11 07:30:00
4.0,22.2,6.51,2010-08-11 07:30:00
4.5,21.5,4.3,2010-08-11 07:30:00
5.0,20.5,2.7,2010-08-11 07:30:00
5.5,18.8,2.01,2010-08-11 07:30:00
6.0,15.4,0.2,2010-08-11 07:30:00
6.5,13.3,0.05,2010-08-11 07:30:00
7.0,,,2010-08-11 07:30:00
7.5,,,2010-08-11 07:30:00
8.0,,,2010-08-11 07:30:00
8.5,,,2010-08-11 07:30:00
9.0,,,2010-08-11 07:30:00
9.5,,,2010-08-11 07:30:00
10.0,,,2010-08-11 07:30:00
0.0,23.3,8.5,2010-08-11 15:30:00
0.5,23.1,8.4,2010-08-11 15:30:00
1.0,23.0,8.35,2010-08-11 15:30:00
1.5,22.7,8.3,2010-08-11 15:30:00
2.0,22.6,8.39,2010-08-11 15:30:00
2.5,22.5,8.2,2010-08-11 15:30:00
3.0,22.5,8.0,2010-08-11 15:30:00
3.5,22.4,7.59,2010-08-11 15:30:00
4.0,22.3,7.0,2010-08-11 15:30:00
4.5,21.9,6.44,2010-08-11 15:30:00
5.0,21.1,3.5,2010-08-11 15:30:00
5.5,18.4,1.4,2010-08-11 15:30:00
6.0,16.0,0.2,2010-08-11 15:30:00
6.5,16.6,0.03,2010-08-11 15:30:00
7.0,,,2010-08-11 15:30:00
7.5,,,2010-08-11 15:30:00
8.0,,,2010-08-11 15:30:00
8.5,,,2010-08-11 15:30:00
9.0,,,2010-08-11 15:30:00
9.5,,,2010-08-11 15:30:00
10.0,,,2010-08-11 15:30:00
0.0,22.4,8.49,2010-08-12 07:30:00
0.5,22.4,8.54,2010-08-12 07:30:00
1.0,22.4,8.69,2010-08-12 07:30:00
1.5,22.4,8.62,2010-08-12 07:30:00
2.0,22.4,8.3,2010-08-12 07:30:00
2.5,22.4,8.3,2010-08-12 07:30:00
3.0,22.4,8.2,2010-08-12 07:30:00
3.5,22.4,8.0,2010-08-12 07:30:00
4.0,22.2,7.2,2010-08-12 07:30:00
4.5,21.7,8.9,2010-08-12 07:30:00
5.0,20.6,2.9,2010-08-12 07:30:00
5.5,18.5,2.08,2010-08-12 07:30:00
6.0,16.2,0.03,2010-08-12 07:30:00
6.5,13.8,0.02,2010-08-12 07:30:00
7.0,,,2010-08-12 07:30:00
7.5,,,2010-08-12 07:30:00
8.0,,,2010-08-12 07:30:00
8.5,,,2010-08-12 07:30:00
9.0,,,2010-08-12 07:30:00
9.5,,,2010-08-12 07:30:00
10.0,,,2010-08-12 07:30:00
0.0,23.4,8.0,2010-08-12 15:10:00
0.5,23.2,8.0,2010-08-12 15:10:00
1.0,23.0,8.14,2010-08-12 15:10:00
1.5,23.0,7.87,2010-08-12 15:10:00
2.0,22.9,7.5,2010-08-12 15:10:00
2.5,22.6,7.76,2010-08-12 15:10:00
3.0,22.5,7.83,2010-08-12 15:10:00
3.5,22.4,7.31,2010-08-12 15:10:00
4.0,22.1,6.28,2010-08-12 15:10:00
4.5,21.8,5.37,2010-08-12 15:10:00
5.0,20.3,2.6,2010-08-12 15:10:00
5.5,18.9,1.74,2010-08-12 15:10:00
6.0,16.4,0.3,2010-08-12 15:10:00
6.5,13.8,0.02,2010-08-12 15:10:00
7.0,,,2010-08-12 15:10:00
7.5,,,2010-08-12 15:10:00
8.0,,,2010-08-12 15:10:00
8.5,,,2010-08-12 15:10:00
9.0,,,2010-08-12 15:10:00
9.5,,,2010-08-12 15:10:00
10.0,,,2010-08-12 15:10:00
0.0,22.3,8.0,2010-08-13 07:10:00
0.5,22.4,7.7,2010-08-13 07:10:00
1.0,22.4,7.8,2010-08-13 07:10:00
1.5,22.4,7.5,2010-08-13 07:10:00
2.0,22.4,7.5,2010-08-13 07:10:00
2.5,22.4,7.97,2010-08-13 07:10:00
3.0,22.4,7.5,2010-08-13 07:10:00
3.5,22.4,7.3,2010-08-13 07:10:00
4.0,22.2,6.0,2010-08-13 07:10:00
4.5,21.5,4.3,2010-08-13 07:10:00
5.0,20.9,2.9,2010-08-13 07:10:00
5.5,18.4,1.5,2010-08-13 07:10:00
6.0,16.5,0.06,2010-08-13 07:10:00
6.5,13.4,0.0,2010-08-13 07:10:00
7.0,,,2010-08-13 07:10:00
7.5,,,2010-08-13 07:10:00
8.0,,,2010-08-13 07:10:00
8.5,,,2010-08-13 07:10:00
9.0,,,2010-08-13 07:10:00
9.5,,,2010-08-13 07:10:00
10.0,,,2010-08-13 07:10:00
0.0,23.1,8.9,2010-08-13 14:40:00
0.5,23.0,8.7,2010-08-13 14:40:00
1.0,23.0,8.4,2010-08-13 14:40:00
1.5,22.7,8.4,2010-08-13 14:40:00
2.0,22.7,8.4,2010-08-13 14:40:00
2.5,22.6,8.0,2010-08-13 14:40:00
3.0,22.5,7.9,2010-08-13 14:40:00
3.5,22.5,8.0,2010-08-13 14:40:00
4.0,22.3,7.0,2010-08-13 14:40:00
4.5,21.9,5.5,2010-08-13 14:40:00
5.0,20.8,3.3,2010-08-13 14:40:00
5.5,18.5,1.7,2010-08-13 14:40:00
6.0,16.0,0.1,2010-08-13 14:40:00
6.5,13.9,0.0,2010-08-13 14:40:00
7.0,,,2010-08-13 14:40:00
7.5,,,2010-08-13 14:40:00
8.0,,,2010-08-13 14:40:00
8.5,,,2010-08-13 14:40:00
9.0,,,2010-08-13 14:40:00
9.5,,,2010-08-13 14:40:00
10.0,,,2010-08-13 14:40:00
0.0,22.2,8.0,2010-08-16 07:30:00
0.5,22.2,7.6,2010-08-16 07:30:00
1.0,22.2,7.7,2010-08-16 07:30:00
1.5,22.2,7.5,2010-08-16 07:30:00
2.0,22.2,7.67,2010-08-16 07:30:00
2.5,22.2,7.2,2010-08-16 07:30:00
3.0,22.2,7.4,2010-08-16 07:30:00
3.5,22.1,7.1,2010-08-16 07:30:00
4.0,22.0,6.7,2010-08-16 07:30:00
4.5,21.7,4.9,2010-08-16 07:30:00
5.0,20.7,2.0,2010-08-16 07:30:00
5.5,19.7,1.75,2010-08-16 07:30:00
6.0,16.0,0.0,2010-08-16 07:30:00
6.5,,,2010-08-16 07:30:00
7.0,,,2010-08-16 07:30:00
7.5,,,2010-08-16 07:30:00
8.0,,,2010-08-16 07:30:00
8.5,,,2010-08-16 07:30:00
9.0,,,2010-08-16 07:30:00
9.5,,,2010-08-16 07:30:00
10.0,,,2010-08-16 07:30:00
0.0,22.6,8.7,2010-08-16 17:15:00
0.5,22.6,8.6,2010-08-16 17:15:00
1.0,22.6,8.4,2010-08-16 17:15:00
1.5,22.6,8.4,2010-08-16 17:15:00
2.0,22.6,8.5,2010-08-16 17:15:00
2.5,22.5,8.2,2010-08-16 17:15:00
3.0,22.3,8.0,2010-08-16 17:15:00
3.5,22.2,7.7,2010-08-16 17:15:00
4.0,22.2,8.0,2010-08-16 17:15:00
4.5,22.1,7.3,2010-08-16 17:15:00
5.0,21.3,3.3,2010-08-16 17:15:00
5.5,19.2,1.4,2010-08-16 17:15:00
6.0,16.2,0.0,2010-08-16 17:15:00
6.5,,,2010-08-16 17:15:00
7.0,,,2010-08-16 17:15:00
7.5,,,2010-08-16 17:15:00
8.0,,,2010-08-16 17:15:00
8.5,,,2010-08-16 17:15:00
9.0,,,2010-08-16 17:15:00
9.5,,,2010-08-16 17:15:00
10.0,,,2010-08-16 17:15:00
0.0,22.2,8.4,2010-08-17 07:30:00
0.5,22.2,8.1,2010-08-17 07:30:00
1.0,22.2,8.3,2010-08-17 07:30:00
1.5,22.2,8.2,2010-08-17 07:30:00
2.0,22.2,8.3,2010-08-17 07:30:00
2.5,22.2,8.0,2010-08-17 07:30:00
3.0,22.2,8.0,2010-08-17 07:30:00
3.5,22.2,8.3,2010-08-17 07:30:00
4.0,22.1,7.8,2010-08-17 07:30:00
4.5,21.8,5.3,2010-08-17 07:30:00
5.0,20.7,2.2,2010-08-17 07:30:00
5.5,19.2,0.0,2010-08-17 07:30:00
6.0,,,2010-08-17 07:30:00
6.5,,,2010-08-17 07:30:00
7.0,,,2010-08-17 07:30:00
7.5,,,2010-08-17 07:30:00
8.0,,,2010-08-17 07:30:00
8.5,,,2010-08-17 07:30:00
9.0,,,2010-08-17 07:30:00
9.5,,,2010-08-17 07:30:00
10.0,,,2010-08-17 07:30:00
0.0,22.6,8.4,2010-08-17 19:00:00
0.5,22.6,8.0,2010-08-17 19:00:00
1.0,22.7,8.3,2010-08-17 19:00:00
1.5,22.7,7.7,2010-08-17 19:00:00
2.0,22.7,8.0,2010-08-17 19:00:00
2.5,22.4,7.7,2010-08-17 19:00:00
3.0,22.4,8.0,2010-08-17 19:00:00
3.5,22.3,7.3,2010-08-17 19:00:00
4.0,22.2,7.5,2010-08-17 19:00:00
4.5,21.7,4.8,2010-08-17 19:00:00
5.0,20.8,2.3,2010-08-17 19:00:00
5.5,19.3,1.02,2010-08-17 19:00:00
6.0,16.9,0.0,2010-08-17 19:00:00
6.5,,,2010-08-17 19:00:00
7.0,,,2010-08-17 19:00:00
7.5,,,2010-08-17 19:00:00
8.0,,,2010-08-17 19:00:00
8.5,,,2010-08-17 19:00:00
9.0,,,2010-08-17 19:00:00
9.5,,,2010-08-17 19:00:00
10.0,,,2010-08-17 19:00:00
0.0,21.9,7.9,2010-08-18 07:30:00
0.5,22.0,8.2,2010-08-18 07:30:00
1.0,22.0,8.1,2010-08-18 07:30:00
1.5,22.0,8.1,2010-08-18 07:30:00
2.0,22.0,7.9,2010-08-18 07:30:00
2.5,22.0,8.06,2010-08-18 07:30:00
3.0,22.0,8.2,2010-08-18 07:30:00
3.5,22.0,8.0,2010-08-18 07:30:00
4.0,22.0,8.0,2010-08-18 07:30:00
4.5,21.9,6.5,2010-08-18 07:30:00
5.0,20.7,2.3,2010-08-18 07:30:00
5.5,18.9,0.7,2010-08-18 07:30:00
6.0,16.9,0.0,2010-08-18 07:30:00
6.5,,,2010-08-18 07:30:00
7.0,,,2010-08-18 07:30:00
7.5,,,2010-08-18 07:30:00
8.0,,,2010-08-18 07:30:00
8.5,,,2010-08-18 07:30:00
9.0,,,2010-08-18 07:30:00
9.5,,,2010-08-18 07:30:00
10.0,,,2010-08-18 07:30:00
0.0,22.0,8.9,2010-08-18 15:30:00
0.5,22.0,8.8,2010-08-18 15:30:00
1.0,22.0,8.7,2010-08-18 15:30:00
1.5,22.0,8.7,2010-08-18 15:30:00
2.0,22.0,8.8,2010-08-18 15:30:00
2.5,21.9,8.8,2010-08-18 15:30:00
3.0,21.9,8.7,2010-08-18 15:30:00
3.5,21.8,8.7,2010-08-18 15:30:00
4.0,21.8,8.7,2010-08-18 15:30:00
4.5,21.4,6.0,2010-08-18 15:30:00
5.0,21.2,3.5,2010-08-18 15:30:00
5.5,19.1,0.5,2010-08-18 15:30:00
6.0,17.0,0.0,2010-08-18 15:30:00
6.5,,,2010-08-18 15:30:00
7.0,,,2010-08-18 15:30:00
7.5,,,2010-08-18 15:30:00
8.0,,,2010-08-18 15:30:00
8.5,,,2010-08-18 15:30:00
9.0,,,2010-08-18 15:30:00
9.5,,,2010-08-18 15:30:00
10.0,,,2010-08-18 15:30:00
0.0,21.5,8.9,2010-08-18 07:30:00
0.5,21.5,8.7,2010-08-18 07:30:00
1.0,21.5,9.0,2010-08-18 07:30:00
1.5,21.5,8.8,2010-08-18 07:30:00
2.0,21.5,8.6,2010-08-18 07:30:00
2.5,21.5,8.8,2010-08-18 07:30:00
3.0,21.5,8.8,2010-08-18 07:30:00
3.5,21.5,8.9,2010-08-18 07:30:00
4.0,21.5,8.8,2010-08-18 07:30:00
4.5,21.5,8.9,2010-08-18 07:30:00
5.0,21.0,4.4,2010-08-18 07:30:00
5.5,19.0,0.0,2010-08-18 07:30:00
6.0,,,2010-08-18 07:30:00
6.5,,,2010-08-18 07:30:00
