Depth,Temperature [Â°C],Oxygen [mg/l],timestamp
7.0,,,2010-08-18 07:30:00
7.5,,,2010-08-18 07:30:00
8.0,,,2010-08-18 07:30:00
8.5,,,2010-08-18 07:30:00
9.0,,,2010-08-18 07:30:00
9.5,,,2010-08-18 07:30:00
10.0,,,2010-08-18 07:30:00
0.0,21.9,7.9,2010-08-19 15:15:00
0.5,21.8,7.9,2010-08-19 15:15:00
1.0,21.8,7.9,2010-08-19 15:15:00
1.5,21.7,7.6,2010-08-19 15:15:00
2.0,21.7,7.6,2010-08-19 15:15:00
2.5,21.7,7.7,2010-08-19 15:15:00
3.0,21.7,7.7,2010-08-19 15:15:00
3.5,21.7,7.7,2010-08-19 15:15:00
4.0,21.6,7.7,2010-08-19 15:15:00
4.5,21.4,7.1,2010-08-19 15:15:00
5.0,21.0,6.0,2010-08-19 15:15:00
5.5,19.7,1.4,2010-08-19 15:15:00
6.0,16.8,0.48,2010-08-19 15:15:00
6.5,14.2,0.06,2010-08-19 15:15:00
7.0,,,2010-08-19 15:15:00
7.5,,,2010-08-19 15:15:00
8.0,,,2010-08-19 15:15:00
8.5,,,2010-08-19 15:15:00
9.0,,,2010-08-19 15:15:00
9.5,,,2010-08-19 15:15:00
10.0,,,2010-08-19 15:15:00
0.0,20.8,8.2,2010-08-26 15:00:00
0.5,20.8,8.0,2010-08-26 15:00:00
1.0,20.8,8.0,2010-08-26 15:00:00
1.5,20.8,8.0,2010-08-26 15:00:00
2.0,20.8,8.0,2010-08-26 15:00:00
2.5,20.8,8.0,2010-08-26 15:00:00
3.0,20.8,7.8,2010-08-26 15:00:00
3.5,20.7,7.5,2010-08-26 15:00:00
4.0,20.7,7.8,2010-08-26 15:00:00
4.5,20.7,7.8,2010-08-26 15:00:00
5.0,20.6,8.1,2010-08-26 15:00:00
5.5,20.3,6.5,2010-08-26 15:00:00
6.0,18.7,0.6,2010-08-26 15:00:00
6.5,14.6,0.1,2010-08-26 15:00:00
7.0,,,2010-08-26 15:00:00
7.5,,,2010-08-26 15:00:00
8.0,,,2010-08-26 15:00:00
8.5,,,2010-08-26 15:00:00
9.0,,,2010-08-26 15:00:00
9.5,,,2010-08-26 15:00:00
10.0,,,2010-08-26 15:00:00
0.0,17.9,7.06,2011-09-14 00:00:00
0.5,17.9,6.98,2011-09-14 00:00:00
1.0,17.9,6.92,2011-09-14 00:00:00
1.5,17.9,6.9,2011-09-14 00:00:00
2.0,17.9,6.82,2011-09-14 00:00:00
2.5,17.9,6.85,2011-09-14 00:00:00
3.0,17.9,6.78,2011-09-14 00:00:00
3.5,17.9,6.65,2011-09-14 00:00:00
4.0,17.8,5.87,2011-09-14 00:00:00
4.5,17.5,4.03,2011-09-14 00:00:00
5.0,17.4,3.68,2011-09-14 00:00:00
5.5,17.2,1.88,2011-09-14 00:00:00
6.0,16.9,0.07,2011-09-14 00:00:00
6.5,15.1,0.0,2011-09-14 00:00:00
7.0,13.3,0.0,2011-09-14 00:00:00
7.5,,,2011-09-14 00:00:00
8.0,,,2011-09-14 00:00:00
8.5,,,2011-09-14 00:00:00
9.0,,,2011-09-14 00:00:00
0.0,12.1,4.85,2011-10-18 12:00:00
0.5,12.1,4.73,2011-10-18 12:00:00
1.0,12.0,4.66,2011-10-18 12:00:00
1.5,12.0,4.61,2011-10-18 12:00:00
2.0,12.0,4.56,2011-10-18 12:00:00
2.5,12.0,4.53,2011-10-18 12:00:00
3.0,12.0,4.49,2011-10-18 12:00:00
3.5,12.0,4.48,2011-10-18 12:00:00
4.0,12.0,4.33,2011-10-18 12:00:00
4.5,12.0,4.33,2011-10-18 12:00:00
5.0,12.0,4.11,2011-10-18 12:00:00
5.5,12.0,4.05,2011-10-18 12:00:00
6.0,11.9,3.82,2011-10-18 12:00:00
6.5,11.9,3.73,2011-10-18 12:00:00
7.0,11.9,3.16,2011-10-18 12:00:00
7.5,11.8,3.21,2011-10-18 12:00:00
8.0,11.7,2.8,2011-10-18 12:00:00
8.5,,,2011-10-18 12:00:00
9.0,,,2011-10-18 12:00:00
0.0,5.88,10.5,2011-10-23 15:00:00
0.5,5.76,10.5,2011-10-23 15:00:00
1.0,5.72,10.5,2011-10-23 15:00:00
1.5,5.72,10.5,2011-10-23 15:00:00
2.0,5.72,10.5,2011-10-23 15:00:00
2.5,5.69,10.5,2011-10-23 15:00:00
3.0,5.63,10.5,2011-10-23 15:00:00
3.5,5.6,10.5,2011-10-23 15:00:00
4.0,5.57,10.4,2011-10-23 15:00:00
4.5,5.41,10.3,2011-10-23 15:00:00
5.0,5.32,10.3,2011-10-23 15:00:00
5.5,5.25,10.3,2011-10-23 15:00:00
6.0,5.24,10.3,2011-10-23 15:00:00
6.5,5.22,10.2,2011-10-23 15:00:00
7.0,5.22,10.2,2011-10-23 15:00:00
7.5,5.12,10.1,2011-10-23 15:00:00
8.0,5.07,10.1,2011-10-23 15:00:00
8.5,5.0,10.1,2011-10-23 15:00:00
9.0,,,2011-10-23 15:00:00
0.0,9.0,6.42,2011-11-08 00:00:00
0.5,9.0,7.35,2011-11-08 00:00:00
1.0,9.0,7.84,2011-11-08 00:00:00
1.5,9.0,7.8,2011-11-08 00:00:00
2.0,9.0,7.68,2011-11-08 00:00:00
2.5,9.0,7.66,2011-11-08 00:00:00
3.0,9.0,7.26,2011-11-08 00:00:00
3.5,9.0,7.35,2011-11-08 00:00:00
4.0,9.0,6.95,2011-11-08 00:00:00
4.5,9.0,6.9,2011-11-08 00:00:00
5.0,9.0,6.85,2011-11-08 00:00:00
5.5,9.0,6.85,2011-11-08 00:00:00
6.0,9.0,6.78,2011-11-08 00:00:00
6.5,9.0,6.79,2011-11-08 00:00:00
7.0,9.0,6.76,2011-11-08 00:00:00
7.5,9.0,6.67,2011-11-08 00:00:00
8.0,9.0,6.66,2011-11-08 00:00:00
8.5,9.0,6.65,2011-11-08 00:00:00
9.0,9.4,0.38,2011-11-08 00:00:00
0.0,6.8,6.82,2011-11-15 00:00:00
0.5,6.8,6.66,2011-11-15 00:00:00
1.0,6.8,6.59,2011-11-15 00:00:00
1.5,6.8,6.61,2011-11-15 00:00:00
2.0,6.8,6.63,2011-11-15 00:00:00
2.5,6.8,6.6,2011-11-15 00:00:00
3.0,6.8,6.52,2011-11-15 00:00:00
3.5,6.8,6.6,2011-11-15 00:00:00
4.0,6.8,6.57,2011-11-15 00:00:00
4.5,6.8,6.59,2011-11-15 00:00:00
5.0,6.8,6.61,2011-11-15 00:00:00
5.5,6.8,6.57,2011-11-15 00:00:00
6.0,6.8,6.53,2011-11-15 00:00:00
6.5,6.8,6.58,2011-11-15 00:00:00
7.0,6.8,6.54,2011-11-15 00:00:00
7.5,6.8,6.45,2011-11-15 00:00:00
8.0,6.8,6.48,2011-11-15 00:00:00
8.5,6.8,6.25,2011-11-15 00:00:00
9.0,,,2011-11-15 00:00:00
9.5,,,2011-11-15 00:00:00
10.0,,,2011-11-15 00:00:00
0.0,3.6,11.81,2011-12-13 00:00:00
0.5,3.6,11.75,2011-12-13 00:00:00
1.0,3.6,11.67,2011-12-13 00:00:00
1.5,3.6,11.68,2011-12-13 00:00:00
2.0,3.6,11.72,2011-12-13 00:00:00
2.5,3.6,11.67,2011-12-13 00:00:00
3.0,3.6,11.64,2011-12-13 00:00:00
3.5,3.6,11.62,2011-12-13 00:00:00
4.0,3.6,11.76,2011-12-13 00:00:00
4.5,3.6,11.68,2011-12-13 00:00:00
5.0,3.6,11.72,2011-12-13 00:00:00
5.5,3.6,11.59,2011-12-13 00:00:00
6.0,3.6,11.61,2011-12-13 00:00:00
6.5,3.6,11.62,2011-12-13 00:00:00
7.0,3.6,11.6,2011-12-13 00:00:00
7.5,3.6,11.63,2011-12-13 00:00:00
8.0,3.7,11.59,2011-12-13 00:00:00
8.5,3.7,11.62,2011-12-13 00:00:00
9.0,4.2,6.1,2011-12-13 00:00:00
9.5,,,2011-12-13 00:00:00
10.0,,,2011-12-13 00:00:00
0.0,3.6,12.76,2012-01-11 09:00:00
0.5,3.6,12.44,2012-01-11 09:00:00
1.0,3.6,12.76,2012-01-11 09:00:00
1.5,3.6,12.44,2012-01-11 09:00:00
2.0,3.6,12.82,2012-01-11 09:00:00
2.5,3.6,12.75,2012-01-11 09:00:00
3.0,3.6,12.78,2012-01-11 09:00:00
3.5,3.6,12.66,2012-01-11 09:00:00
4.0,3.6,12.71,2012-01-11 09:00:00
4.5,3.6,12.71,2012-01-11 09:00:00
5.0,3.6,12.77,2012-01-11 09:00:00
5.5,3.6,12.67,2012-01-11 09:00:00
6.0,3.6,12.71,2012-01-11 09:00:00
6.5,3.6,12.68,2012-01-11 09:00:00
7.0,3.6,12.65,2012-01-11 09:00:00
7.5,3.6,12.63,2012-01-11 09:00:00
8.0,3.6,12.65,2012-01-11 09:00:00
8.5,3.6,12.66,2012-01-11 09:00:00
9.0,3.7,,2012-01-11 09:00:00
9.5,,,2012-01-11 09:00:00
10.0,,,2012-01-11 09:00:00
0.0,,10.68,2012-02-07 09:00:00
0.5,3.1,11.01,2012-02-07 09:00:00
1.0,3.1,11.07,2012-02-07 09:00:00
1.5,3.1,11.01,2012-02-07 09:00:00
2.0,3.1,10.9,2012-02-07 09:00:00
2.5,3.1,11.04,2012-02-07 09:00:00
3.0,3.1,11.07,2012-02-07 09:00:00
3.5,3.1,11.03,2012-02-07 09:00:00
4.0,3.1,10.98,2012-02-07 09:00:00
4.5,3.1,11.01,2012-02-07 09:00:00
5.0,3.1,11.06,2012-02-07 09:00:00
5.5,3.2,10.92,2012-02-07 09:00:00
6.0,3.3,9.47,2012-02-07 09:00:00
6.5,3.4,9.15,2012-02-07 09:00:00
7.0,3.5,7.84,2012-02-07 09:00:00
7.5,3.5,7.84,2012-02-07 09:00:00
8.0,3.5,7.58,2012-02-07 09:00:00
8.5,4.0,0.0,2012-02-07 09:00:00
9.0,,,2012-02-07 09:00:00
9.5,,,2012-02-07 09:00:00
10.0,,,2012-02-07 09:00:00
0.0,0.3,10.08,2012-02-22 00:00:00
0.5,3.1,10.36,2012-02-22 00:00:00
1.0,3.4,10.04,2012-02-22 00:00:00
1.5,3.5,10.05,2012-02-22 00:00:00
2.0,3.5,10.03,2012-02-22 00:00:00
2.5,3.5,10.01,2012-02-22 00:00:00
3.0,3.5,9.85,2012-02-22 00:00:00
3.5,3.4,9.2,2012-02-22 00:00:00
4.0,3.4,8.69,2012-02-22 00:00:00
4.5,3.5,8.39,2012-02-22 00:00:00
5.0,3.5,7.98,2012-02-22 00:00:00
5.5,3.6,7.69,2012-02-22 00:00:00
6.0,3.6,7.45,2012-02-22 00:00:00
6.5,3.8,6.18,2012-02-22 00:00:00
7.0,3.8,6.18,2012-02-22 00:00:00
7.5,3.8,4.97,2012-02-22 00:00:00
8.0,4.1,0.45,2012-02-22 00:00:00
8.5,,,2012-02-22 00:00:00
9.0,,,2012-02-22 00:00:00
9.5,,,2012-02-22 00:00:00
10.0,,,2012-02-22 00:00:00
0.0,2.9,9.11,2012-03-07 19:45:00
0.5,3.1,9.08,2012-03-07 19:45:00
1.0,3.5,9.07,2012-03-07 19:45:00
1.5,3.6,9.15,2012-03-07 19:45:00
2.0,3.7,9.07,2012-03-07 19:45:00
2.5,3.7,9.12,2012-03-07 19:45:00
3.0,3.7,9.1,2012-03-07 19:45:00
3.5,3.7,9.03,2012-03-07 19:45:00
4.0,3.8,9.04,2012-03-07 19:45:00
4.5,3.8,6.46,2012-03-07 19:45:00
5.0,3.8,6.08,2012-03-07 19:45:00
5.5,3.8,5.64,2012-03-07 19:45:00
6.0,3.9,5.06,2012-03-07 19:45:00
6.5,3.9,4.72,2012-03-07 19:45:00
7.0,3.9,3.62,2012-03-07 19:45:00
7.5,4.1,2.21,2012-03-07 19:45:00
8.0,4.1,1.78,2012-03-07 19:45:00
8.5,,,2012-03-07 19:45:00
9.0,,,2012-03-07 19:45:00
9.5,,,2012-03-07 19:45:00
10.0,,,2012-03-07 19:45:00
0.0,7.6,11.84,2012-04-04 20:00:00
0.5,7.6,11.84,2012-04-04 20:00:00
1.0,7.6,11.81,2012-04-04 20:00:00
1.5,7.6,11.78,2012-04-04 20:00:00
2.0,7.6,11.8,2012-04-04 20:00:00
2.5,7.6,11.75,2012-04-04 20:00:00
3.0,7.6,11.76,2012-04-04 20:00:00
3.5,7.6,11.74,2012-04-04 20:00:00
4.0,7.6,11.73,2012-04-04 20:00:00
4.5,7.6,11.73,2012-04-04 20:00:00
5.0,7.6,11.7,2012-04-04 20:00:00
5.5,7.6,11.75,2012-04-04 20:00:00
6.0,7.5,11.59,2012-04-04 20:00:00
6.5,6.0,6.97,2012-04-04 20:00:00
7.0,5.6,5.87,2012-04-04 20:00:00
7.5,5.4,4.62,2012-04-04 20:00:00
8.0,5.3,2.94,2012-04-04 20:00:00
8.5,,,2012-04-04 20:00:00
9.0,,,2012-04-04 20:00:00
9.5,,,2012-04-04 20:00:00
10.0,,,2012-04-04 20:00:00
0.0,15.2,12.46,2012-05-08 08:00:00
0.5,15.2,12.56,2012-05-08 08:00:00
1.0,15.2,12.43,2012-05-08 08:00:00
1.5,15.2,12.41,2012-05-08 08:00:00
2.0,15.2,12.32,2012-05-08 08:00:00
2.5,14.6,9.55,2012-05-08 08:00:00
3.0,12.4,14.9,2012-05-08 08:00:00
3.5,10.4,12.2,2012-05-08 08:00:00
4.0,9.5,10.18,2012-05-08 08:00:00
4.5,8.8,6.92,2012-05-08 08:00:00
5.0,8.2,5.85,2012-05-08 08:00:00
5.5,7.8,4.1,2012-05-08 08:00:00
6.0,7.4,2.24,2012-05-08 08:00:00
6.5,7.3,1.24,2012-05-08 08:00:00
7.0,7.1,0.0,2012-05-08 08:00:00
7.5,7.1,0.0,2012-05-08 08:00:00
8.0,7.0,0.0,2012-05-08 08:00:00
8.5,,,2012-05-08 08:00:00
9.0,,,2012-05-08 08:00:00
9.5,,,2012-05-08 08:00:00
10.0,,,2012-05-08 08:00:00
0.0,18.8,10.18,2012-05-21 16:00:00
0.5,18.7,10.37,2012-05-21 16:00:00
1.0,18.7,10.35,2012-05-21 16:00:00
1.5,18.7,10.37,2012-05-21 16:00:00
2.0,18.0,9.94,2012-05-21 16:00:00
2.5,14.7,8.87,2012-05-21 16:00:00
3.0,14.0,7.83,2012-05-21 16:00:00
3.5,12.5,6.9,2012-05-21 16:00:00
4.0,11.0,6.56,2012-05-21 16:00:00
4.5,9.4,4.95,2012-05-21 16:00:00
5.0,8.5,2.46,2012-05-21 16:00:00
5.5,7.9,1.18,2012-05-21 16:00:00
6.0,7.8,0.41,2012-05-21 16:00:00
6.5,7.6,0.05,2012-05-21 16:00:00
7.0,7.5,0.0,2012-05-21 16:00:00
7.5,,,2012-05-21 16:00:00
8.0,,,2012-05-21 16:00:00
8.5,,,2012-05-21 16:00:00
9.0,,,2012-05-21 16:00:00
9.5,,,2012-05-21 16:00:00
10.0,,,2012-05-21 16:00:00
0.0,16.4,7.14,2012-06-05 17:15:00
0.5,16.4,7.01,2012-06-05 17:15:00
1.0,16.4,6.98,2012-06-05 17:15:00
1.5,16.4,6.97,2012-06-05 17:15:00
2.0,16.4,6.98,2012-06-05 17:15:00
2.5,16.1,5.62,2012-06-05 17:15:00
3.0,15.9,4.74,2012-06-05 17:15:00
3.5,15.1,3.25,2012-06-05 17:15:00
4.0,12.6,3.3,2012-06-05 17:15:00
4.5,10.1,2.31,2012-06-05 17:15:00
5.0,9.1,1.12,2012-06-05 17:15:00
5.5,8.3,0.14,2012-06-05 17:15:00
6.0,8.0,0.06,2012-06-05 17:15:00
6.5,7.6,0.03,2012-06-05 17:15:00
7.0,7.4,0.03,2012-06-05 17:15:00
7.5,7.2,0.0,2012-06-05 17:15:00
8.0,7.1,0.0,2012-06-05 17:15:00
8.5,7.0,0.0,2012-06-05 17:15:00
9.0,,,2012-06-05 17:15:00
9.5,,,2012-06-05 17:15:00
10.0,,,2012-06-05 17:15:00
0.0,20.8,10.26,2012-06-18 09:30:00
0.5,20.7,10.06,2012-06-18 09:30:00
1.0,20.2,9.95,2012-06-18 09:30:00
1.5,20.2,9.65,2012-06-18 09:30:00
2.0,20.0,8.82,2012-06-18 09:30:00
2.5,19.0,4.8,2012-06-18 09:30:00
3.0,17.8,2.23,2012-06-18 09:30:00
3.5,16.1,0.75,2012-06-18 09:30:00
4.0,13.1,0.31,2012-06-18 09:30:00
4.5,10.6,0.06,2012-06-18 09:30:00
5.0,9.6,0.06,2012-06-18 09:30:00
5.5,8.6,0.03,2012-06-18 09:30:00
6.0,8.5,0.0,2012-06-18 09:30:00
6.5,8.1,0.0,2012-06-18 09:30:00
7.0,7.8,0.0,2012-06-18 09:30:00
7.5,7.5,0.0,2012-06-18 09:30:00
8.0,7.4,0.0,2012-06-18 09:30:00
8.5,7.3,0.0,2012-06-18 09:30:00
9.0,,,2012-06-18 09:30:00
9.5,,,2012-06-18 09:30:00
10.0,,,2012-06-18 09:30:00
0.0,17.4,9.93,2012-06-28 09:30:00
0.5,17.4,9.85,2012-06-28 09:30:00
1.0,17.3,9.63,2012-06-28 09:30:00
1.5,17.2,8.85,2012-06-28 09:30:00
2.0,17.1,8.51,2012-06-28 09:30:00
2.5,17.1,7.49,2012-06-28 09:30:00
3.0,17.0,6.61,2012-06-28 09:30:00
3.5,16.6,4.3,2012-06-28 09:30:00
4.0,15.6,2.82,2012-06-28 09:30:00
4.5,12.0,0.21,2012-06-28 09:30:00
5.0,10.3,0.0,2012-06-28 09:30:00
5.5,9.3,0.0,2012-06-28 09:30:00
6.0,8.5,0.0,2012-06-28 09:30:00
6.5,8.0,0.0,2012-06-28 09:30:00
7.0,7.7,0.0,2012-06-28 09:30:00
7.5,7.4,0.0,2012-06-28 09:30:00
8.0,7.4,0.0,2012-06-28 09:30:00
8.5,7.4,0.0,2012-06-28 09:30:00
9.0,,,2012-06-28 09:30:00
9.5,,,2012-06-28 09:30:00
10.0,,,2012-06-28 09:30:00
0.0,21.9,11.1,2012-07-03 08:00:00
0.5,21.9,11.0,2012-07-03 08:00:00
1.0,21.9,11.0,2012-07-03 08:00:00
1.5,21.3,15.2,2012-07-03 08:00:00
2.0,17.7,7.4,2012-07-03 08:00:00
2.5,17.2,5.6,2012-07-03 08:00:00
3.0,16.9,4.4,2012-07-03 08:00:00
3.5,16.3,2.8,2012-07-03 08:00:00
4.0,15.0,0.1,2012-07-03 08:00:00
4.5,12.6,0.0,2012-07-03 08:00:00
5.0,10.9,0.0,2012-07-03 08:00:00
5.5,9.6,0.0,2012-07-03 08:00:00
6.0,8.8,0.0,2012-07-03 08:00:00
6.5,8.2,0.0,2012-07-03 08:00:00
7.0,7.9,0.0,2012-07-03 08:00:00
7.5,7.8,0.0,2012-07-03 08:00:00
8.0,7.4,0.0,2012-07-03 08:00:00
8.5,7.4,0.0,2012-07-03 08:00:00
9.0,,,2012-07-03 08:00:00
9.5,,,2012-07-03 08:00:00
10.0,,,2012-07-03 08:00:00
0.0,20.2,8.57,2012-07-13 08:00:00
0.5,20.2,8.51,2012-07-13 08:00:00
1.0,20.2,8.48,2012-07-13 08:00:00
1.5,20.2,8.41,2012-07-13 08:00:00
2.0,20.0,4.5,2012-07-13 08:00:00
2.5,18.8,0.3,2012-07-13 08:00:00
3.0,17.4,0.0,2012-07-13 08:00:00
3.5,15.7,0.0,2012-07-13 08:00:00
4.0,15.0,0.0,2012-07-13 08:00:00
4.5,12.9,0.0,2012-07-13 08:00:00
5.0,10.9,0.0,2012-07-13 08:00:00
5.5,9.0,0.0,2012-07-13 08:00:00
6.0,8.5,0.0,2012-07-13 08:00:00
6.5,8.1,0.0,2012-07-13 08:00:00
7.0,8.1,0.0,2012-07-13 08:00:00
7.5,7.9,0.0,2012-07-13 08:00:00
8.0,7.9,0.0,2012-07-13 08:00:00
8.5,7.8,0.0,2012-07-13 08:00:00
9.0,,,2012-07-13 08:00:00
9.5,,,2012-07-13 08:00:00
10.0,,,2012-07-13 08:00:00
0.0,16.2,8.8,2012-07-16 11:15:00
0.5,19.2,8.7,2012-07-16 11:15:00
1.0,19.1,8.7,2012-07-16 11:15:00
1.5,19.1,8.5,2012-07-16 11:15:00
2.0,19.0,8.3,2012-07-16 11:15:00
2.5,18.9,7.5,2012-07-16 11:15:00
3.0,16.8,0.3,2012-07-16 11:15:00
3.5,16.0,0.06,2012-07-16 11:15:00
4.0,14.7,0.0,2012-07-16 11:15:00
4.5,13.3,0.0,2012-07-16 11:15:00
5.0,10.4,0.0,2012-07-16 11:15:00
5.5,9.3,0.0,2012-07-16 11:15:00
6.0,8.6,0.0,2012-07-16 11:15:00
6.5,8.1,0.0,2012-07-16 11:15:00
7.0,8.1,0.0,2012-07-16 11:15:00
7.5,8.0,0.0,2012-07-16 11:15:00
8.0,7.9,0.0,2012-07-16 11:15:00
8.5,7.9,0.0,2012-07-16 11:15:00
9.0,,,2012-07-16 11:15:00
9.5,,,2012-07-16 11:15:00
10.0,,,2012-07-16 11:15:00
,,,2012-07-16 11:15:00
0.0,23.6,11.78,2012-07-26 08:00:00
0.5,23.6,11.75,2012-07-26 08:00:00
1.0,22.7,12.6,2012-07-26 08:00:00
1.5,20.1,14.9,2012-07-26 08:00:00
2.0,18.4,6.4,2012-07-26 08:00:00
2.5,18.0,4.72,2012-07-26 08:00:00
3.0,17.6,2.22,2012-07-26 08:00:00
3.5,17.0,0.0,2012-07-26 08:00:00
4.0,15.4,0.0,2012-07-26 08:00:00
4.5,12.8,0.0,2012-07-26 08:00:00
5.0,11.2,0.0,2012-07-26 08:00:00
5.5,9.7,0.0,2012-07-26 08:00:00
6.0,8.9,0.0,2012-07-26 08:00:00
6.5,8.4,0.0,2012-07-26 08:00:00
7.0,8.1,0.0,2012-07-26 08:00:00
7.5,7.9,0.0,2012-07-26 08:00:00
8.0,7.8,0.0,2012-07-26 08:00:00
8.5,0.0,0.0,2012-07-26 08:00:00
9.0,,,2012-07-26 08:00:00
9.5,,,2012-07-26 08:00:00
10.0,,,2012-07-26 08:00:00
